price(thousand dollard),m2_living,grade,m2_above,bathrooms,view,m2_basement,bedrooms,zipcode_98004,waterfront,floors,zipcode_98039,zipcode_98040,zipcode_98112,zipcode_98006,zipcode_98033,zipcode_98168,zipcode_98001,zipcode_98042,zipcode_98023
485.0,148.6448,7,148.6448,1.0,0,0.0,4,0,0,1.5,0,0,0,0,0,0,0,0,0
189.0,111.4836,7,111.4836,1.0,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
230.0,116.12875,7,116.12875,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
385.0,150.50286,7,79.89658,1.75,0,70.60628,4,0,0,1.0,0,0,0,0,0,0,0,0,0
2000.0,283.35415,9,216.46399,2.75,4,66.89016,3,0,0,1.0,0,1,0,0,0,0,0,0,0
285.0,210.88981,8,210.88981,2.5,0,0.0,5,0,0,2.0,0,0,0,0,0,0,0,0,0
252.7,99.40621,7,99.40621,1.5,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
329.0,227.61235,8,227.61235,2.25,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
233.0,158.86413,6,158.86413,2.0,0,0.0,3,0,0,1.5,0,0,0,0,0,0,0,0,0
937.0,227.61235,8,162.58025,1.75,0,65.0321,3,0,0,2.0,0,0,0,0,0,0,0,0,0
667.0,130.0642,8,130.0642,1.0,0,0.0,3,0,0,1.5,0,0,1,0,0,0,0,0,0
438.0,141.21256,7,73.39337,1.75,0,67.81919,3,0,0,1.0,0,0,0,0,0,0,0,0,0
719.0,238.76071,8,238.76071,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
580.5,215.53496,8,215.53496,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
280.0,110.55457,7,110.55457,1.5,0,0.0,2,0,0,3.0,0,0,0,0,0,0,0,0,0
687.5,216.46399,7,140.28353,1.75,0,76.18046,4,0,0,1.5,0,0,0,0,0,0,0,0,0
535.0,101.26427,8,101.26427,1.0,0,0.0,3,0,0,1.5,0,0,0,0,0,0,0,0,0
322.5,191.38018,7,118.91584,2.75,0,72.46433999999999,4,0,0,1.0,0,0,0,0,0,0,0,0,0
696.0,213.6769,8,140.28353,2.5,0,73.39337,3,0,0,1.5,0,0,0,0,0,0,0,0,0
550.0,154.21898,5,86.39979,1.0,0,67.81919,4,0,0,1.0,0,0,0,0,0,0,0,0,0
640.0,219.25108,8,219.25108,2.0,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
240.0,113.34166,7,82.68367,1.0,0,30.65799,4,0,0,1.0,0,0,0,0,0,0,1,0,0
605.0,243.40586,8,243.40586,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
625.0,238.76071,9,238.76071,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
775.0,392.05066,8,241.5478,2.25,0,150.50286,4,0,0,1.0,0,0,0,0,0,0,0,0,0
861.99,333.986285,9,333.986285,2.75,0,0.0,5,0,0,2.0,0,0,0,0,0,0,0,0,0
685.0,145.85771,7,145.85771,1.0,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
309.0,118.91584,6,85.47076,1.0,0,33.44508,3,0,0,1.0,0,0,0,0,0,0,0,0,0
488.0,293.57348,8,293.57348,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
210.49,91.97397,6,91.97397,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,1
785.0,212.74787,9,212.74787,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
450.0,116.12875,7,116.12875,1.75,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
1350.0,255.761959,9,201.134995,2.5,2,54.626964,3,0,1,1.0,0,0,0,0,0,0,0,0,0
228.0,110.55457,7,110.55457,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
345.0,292.64445,8,152.36092,2.5,0,140.28353,5,0,0,1.0,0,0,0,0,0,0,0,0,0
600.0,130.99323,7,92.903,1.75,0,38.09023,3,0,0,1.0,0,0,0,0,0,0,0,0,0
585.0,183.94794,7,91.97397,1.75,0,91.97397,2,0,0,1.0,0,0,0,0,0,0,0,0,0
920.0,253.62519,8,197.88339,2.25,0,55.7418,5,0,0,1.5,0,0,0,0,0,0,0,0,0
885.0,262.91549,9,262.91549,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
292.5,209.03175,7,209.03175,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,1,0
301.0,224.82526,8,224.82526,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,1,0
951.0,301.93475,8,301.93475,3.25,4,0.0,5,0,0,2.0,0,0,0,0,0,0,0,0,0
430.0,171.87055,8,171.87055,3.0,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
650.0,199.74145,8,147.71577,2.25,3,52.02568,3,0,0,1.0,0,0,0,0,0,0,0,0,0
289.0,117.05778,7,117.05778,1.75,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
505.0,234.022657,8,234.022657,1.75,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
549.0,143.07062,8,143.07062,1.75,0,0.0,3,0,0,3.0,0,0,0,0,0,0,0,0,0
425.0,154.21898,7,103.12233,2.25,0,51.09665,3,0,0,1.0,0,0,0,0,0,0,0,0,0
317.625,257.34131,7,164.43831,2.75,0,92.903,3,0,0,1.5,0,0,0,0,0,0,0,0,0
975.0,252.69616,10,252.69616,2.5,0,0.0,4,1,0,2.0,0,0,0,0,0,0,0,0,0
287.0,208.10272,7,208.10272,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,1,0,0
204.0,92.903,7,92.903,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,1,0
1325.0,297.2896,8,148.6448,2.25,0,148.6448,5,1,0,1.0,0,0,0,0,0,0,0,0,0
1040.0,443.14731,11,285.21221,3.25,0,157.9351,5,0,0,1.0,0,0,0,0,0,0,0,0,0
325.0,117.05778,7,117.05778,2.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
571.0,255.48325,7,209.03175,2.0,0,46.4515,4,0,0,1.5,0,0,0,0,0,0,0,0,0
360.0,221.10914,8,221.10914,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
349.0,166.29637,7,101.26427,1.75,0,65.0321,3,0,0,1.0,0,0,0,0,0,0,0,1,0
832.5,318.65729,10,222.03817,4.0,0,96.61912,4,0,0,2.0,0,0,0,0,0,0,0,0,0
380.0,163.50928,7,81.75464,1.75,0,81.75464,4,0,0,1.0,0,0,0,0,0,0,0,0,0
480.0,96.61912,7,96.61912,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
410.0,130.99323,7,84.54173,1.0,0,46.4515,3,0,0,1.0,0,0,0,0,0,0,0,0,0
720.0,320.51535,10,320.51535,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
390.0,218.32205,8,218.32205,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
360.0,176.5157,7,176.5157,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
355.0,187.66406,7,93.83203,1.0,0,93.83203,2,0,0,1.0,0,0,0,0,0,0,0,0,0
356.0,156.07704,8,156.07704,1.5,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
315.0,89.18688,6,89.18688,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
940.0,198.81242,9,176.5157,1.5,0,22.29672,3,0,0,2.0,0,0,0,0,0,0,0,0,0
305.0,247.12198,7,247.12198,2.25,0,0.0,5,0,0,1.5,0,0,0,0,0,0,0,0,0
461.0,257.34131,9,183.94794,3.25,0,73.39337,3,0,0,2.0,0,0,0,0,0,0,0,0,0
215.0,149.57383,7,149.57383,2.25,0,0.0,2,0,0,2.0,0,0,0,0,0,0,0,0,0
335.0,95.69009,7,71.070795,1.75,0,24.619295,2,0,0,2.0,0,0,0,0,0,0,0,0,0
243.5,183.94794,7,183.94794,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,1
1099.88,327.01856,10,327.01856,2.75,0,0.0,5,0,0,2.0,0,0,0,0,0,0,0,0,0
153.0,111.4836,7,111.4836,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,1
430.0,146.78674,8,119.84487,1.5,0,26.94187,3,0,0,1.0,0,0,0,0,0,0,0,0,0
700.0,146.78674,8,119.84487,1.5,0,26.94187,3,0,0,1.0,0,0,0,0,0,0,0,0,0
905.0,306.5799,7,222.03817,2.5,0,84.54173,4,0,0,1.0,0,1,0,0,0,0,0,0,0
247.5,182.08988,7,182.08988,1.75,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
199.0,107.76748,7,107.76748,1.5,0,0.0,4,0,0,1.0,0,0,0,0,0,0,0,0,1
314.0,168.15443,7,112.41263,1.75,0,55.7418,3,0,0,1.0,0,0,0,0,0,0,0,0,0
437.5,215.53496,9,215.53496,2.5,2,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
850.83,192.30921,9,117.98681,2.5,0,74.3224,3,0,0,1.5,0,0,0,0,0,0,0,0,0
555.0,183.94794,7,133.78032,2.0,0,50.16762,3,0,0,1.5,0,0,0,0,0,0,0,0,0
699.95,203.45757,8,203.45757,2.25,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
1088.0,271.27676,8,271.27676,2.5,0,0.0,3,1,0,2.0,0,0,0,0,0,0,0,0,0
290.0,112.41263,7,112.41263,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
375.0,217.39302,8,135.63838,2.5,0,81.75464,3,0,0,1.0,0,0,0,0,0,0,0,0,0
460.0,155.14801,7,108.69651,1.0,0,46.4515,3,0,0,1.5,0,0,0,0,0,0,0,0,0
188.5,115.19972,8,115.19972,1.75,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
680.0,291.71542,10,291.71542,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
470.0,188.59309,7,188.59309,1.75,0,0.0,5,0,0,2.0,0,0,0,0,0,0,0,0,0
597.75,214.60593,8,214.60593,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
570.0,117.05778,6,65.0321,1.75,0,52.02568,3,0,0,1.0,0,0,0,0,0,0,0,0,0
272.5,143.07062,7,107.76748,1.75,0,35.30314,3,0,0,1.0,0,0,0,0,0,0,0,0,0
329.95,193.23824,7,100.33524,1.75,2,92.903,3,0,0,1.0,0,0,0,0,0,0,0,0,0
480.0,300.07669,9,234.11556,2.5,3,65.96113,4,0,0,2.0,0,0,0,0,0,0,1,0,0
740.5,406.91514,8,258.27034,3.5,0,148.6448,3,0,0,2.0,0,0,0,0,0,0,0,0,0
518.5,147.71577,8,147.71577,3.5,0,0.0,3,0,0,3.0,0,0,0,0,0,0,0,0,0
205.425,81.75464,6,81.75464,1.0,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
171.8,145.85771,6,145.85771,2.0,0,0.0,4,0,0,1.0,0,0,0,0,0,1,0,0,0
535.0,149.57383,7,149.57383,1.0,0,0.0,4,0,0,1.5,0,0,0,0,0,0,0,0,0
660.0,222.9672,8,144.92868,2.5,2,78.03852,3,0,0,1.0,0,0,0,0,0,0,0,0,0
391.5,134.70935,7,134.70935,2.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
395.0,71.53531,6,71.53531,1.0,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
445.0,195.0963,7,159.79316,1.75,0,35.30314,4,0,0,1.5,0,0,0,0,0,0,0,0,0
770.0,270.34773,9,270.34773,2.25,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
1450.0,255.48325,8,183.94794,2.75,0,71.53531,4,1,0,1.5,0,0,0,0,0,0,0,0,0
445.0,195.0963,8,150.50286,2.25,2,44.59344,3,0,0,1.0,0,0,0,0,0,0,0,0,0
260.0,200.67048,8,126.34808,2.25,0,74.3224,4,0,0,1.0,0,0,0,0,0,0,0,0,1
822.5,215.53496,7,159.79316,3.5,0,55.7418,5,0,0,2.0,0,0,0,0,0,0,0,0,0
430.0,192.30921,7,192.30921,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
212.0,98.47718,7,98.47718,1.75,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
660.5,186.73503,8,133.78032,2.25,0,52.95471,4,0,0,1.0,0,0,0,0,0,0,0,0,0
784.0,366.96685,9,228.54138,3.5,0,138.42547,3,0,0,1.5,0,0,0,0,0,0,0,0,0
453.246,186.73503,8,129.13517,2.5,0,57.59986,3,0,0,2.0,0,0,0,0,0,0,0,0,0
675.0,198.81242,9,198.81242,3.5,0,0.0,4,0,0,3.0,0,0,0,0,0,0,0,0,0
199.0,122.63196,7,122.63196,1.75,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
220.0,187.66406,7,93.83203,1.75,0,93.83203,4,0,0,1.0,0,0,0,0,0,0,0,0,0
452.0,240.61877,8,124.49002,2.25,0,116.12875,4,0,0,1.0,0,0,0,0,0,0,0,0,0
382.5,110.55457,6,110.55457,1.0,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
519.95,108.69651,8,108.69651,2.25,0,0.0,3,0,0,3.0,0,0,0,0,0,0,0,0,0
665.0,103.12233,7,103.12233,1.0,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
527.7,261.98646,8,143.99965,2.5,0,117.98681,5,0,0,1.0,0,0,0,1,0,0,0,0,0
205.0,149.57383,7,93.83203,1.0,0,55.7418,3,0,0,1.0,0,0,0,0,0,0,0,0,0
420.0,98.47718,7,87.32882,1.0,0,11.14836,3,0,0,1.0,0,0,0,0,0,0,0,0,0
500.0,188.59309,8,128.20614,2.25,0,60.38695,4,0,0,1.0,0,0,0,1,0,0,0,0,0
921.5,340.95401,9,340.95401,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
890.0,236.90265,8,220.18011,1.0,0,16.72254,4,0,0,2.0,0,0,0,0,0,0,0,0,0
430.0,224.82526,7,224.82526,2.5,0,0.0,2,0,0,2.0,0,0,0,0,0,0,0,0,0
258.0,209.96078,8,104.98039,2.0,0,104.98039,5,0,0,1.0,0,0,0,0,0,0,0,0,0
511.0,132.85129,7,91.04494,1.0,0,41.80635,3,0,0,1.0,0,0,0,0,0,0,0,0,0
532.17,126.34808,8,126.34808,2.0,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
560.0,103.12233,7,103.12233,1.0,0,0.0,3,0,0,1.5,0,0,0,0,0,0,0,0,0
282.95,116.12875,7,116.12875,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
2250.0,481.23754,12,328.87662,3.25,3,152.36092,4,0,0,2.0,0,0,0,1,0,0,0,0,0
350.0,65.0321,7,65.0321,1.0,0,0.0,1,0,0,1.0,0,0,0,0,0,0,0,0,0
215.0,109.62554,7,109.62554,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
650.0,367.89588,9,232.2575,3.5,0,135.63838,5,0,0,2.0,0,0,0,0,0,0,0,0,0
320.0,245.26392,8,150.50286,2.75,0,94.76106,4,0,0,1.0,0,0,0,0,0,0,0,0,1
247.0,117.98681,7,117.98681,2.0,0,0.0,3,0,0,1.5,0,0,0,0,0,0,0,0,0
320.0,163.50928,8,163.50928,1.75,0,0.0,4,0,0,1.0,0,0,0,0,0,0,0,0,0
255.0,191.38018,7,95.69009,2.25,0,95.69009,5,0,0,1.0,0,0,0,0,0,0,0,0,0
438.0,165.36734,7,165.36734,1.75,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
900.0,315.8702,10,315.8702,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
441.0,177.44473,7,107.76748,2.75,0,69.67725,3,0,0,1.0,0,0,0,0,0,0,0,0,0
420.0,187.66406,7,93.83203,2.0,0,93.83203,3,0,0,1.0,0,0,0,0,0,0,0,0,0
370.0,146.78674,7,109.62554,1.75,0,37.1612,3,0,0,1.0,0,0,0,0,0,0,0,0,0
269.95,124.49002,5,65.0321,1.75,0,59.45792,2,0,0,1.0,0,0,0,0,0,0,0,0,0
807.1,248.98004,9,248.98004,2.5,0,0.0,4,0,0,2.0,0,0,0,1,0,0,0,0,0
653.0,248.98004,8,149.57383,2.5,0,99.40621,3,0,0,1.0,0,0,0,0,0,0,0,0,0
371.5,127.27711,7,127.27711,2.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
284.0,144.92868,7,144.92868,1.75,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
272.0,200.67048,7,155.14801,1.75,0,45.52247,3,0,0,1.0,0,0,0,0,0,0,0,0,1
313.0,124.49002,7,124.49002,1.5,0,0.0,3,0,0,1.5,0,0,0,0,0,0,0,0,0
917.5,360.46364,10,238.76071,2.5,0,121.70293,4,0,0,2.0,0,0,0,0,1,0,0,0,0
673.0,240.61877,8,240.61877,2.25,0,0.0,4,0,0,2.0,0,0,0,1,0,0,0,0,0
425.0,104.05136,8,76.18046,2.5,0,27.8709,3,0,0,2.0,0,0,0,0,0,0,0,0,0
399.95,183.01891,7,122.63196,2.75,0,60.38695,5,0,0,1.0,0,0,0,0,0,0,0,0,0
385.0,113.34166,6,113.34166,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
269.95,181.16085,7,122.63196,1.5,2,58.52889,3,0,0,1.0,0,0,0,0,0,0,0,0,0
330.0,125.41905,7,98.47718,1.0,0,26.94187,2,0,0,1.0,0,0,0,0,0,0,0,0,0
260.0,155.14801,7,155.14801,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
470.0,221.10914,7,156.07704,3.0,0,65.0321,4,0,0,1.5,0,0,0,0,0,0,0,0,0
589.0,226.68332,7,226.68332,3.0,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
163.5,97.54815,7,97.54815,1.5,0,0.0,2,0,0,2.0,0,0,0,0,0,0,0,0,0
835.0,290.78639,9,198.81242,2.75,0,91.97397,4,0,0,2.0,0,0,0,0,0,0,0,0,0
1095.0,379.97327,10,194.16727,3.0,2,185.806,5,0,0,1.0,0,0,0,0,1,0,0,0,0
269.0,138.42547,8,102.1933,1.75,0,36.23217,4,0,0,1.0,0,0,0,0,0,0,0,0,1
560.0,176.5157,8,176.5157,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
615.0,123.56099,6,123.56099,1.0,0,0.0,4,0,0,1.5,0,0,0,0,0,0,0,0,0
585.188,207.17369,8,132.85129,2.25,0,74.3224,3,0,0,1.0,0,0,0,0,0,0,0,0,0
305.0,153.28995,7,113.34166,1.75,0,39.94829,3,0,0,1.0,0,0,0,0,0,0,0,0,0
166.95,110.55457,6,110.55457,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
799.0,198.81242,8,198.81242,2.5,0,0.0,3,0,0,1.0,0,1,0,0,0,0,0,0,0
400.0,202.52854,7,131.92226,2.5,0,70.60628,3,0,0,1.0,0,0,0,0,0,0,0,0,0
230.0,98.47718,7,98.47718,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
256.883,157.00607,8,157.00607,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,1
423.0,183.01891,7,104.98039,2.0,0,78.03852,4,0,0,1.5,0,0,0,0,0,0,0,0,0
465.0,199.74145,8,199.74145,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
440.0,177.44473,7,177.44473,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
385.0,125.41905,7,125.41905,1.75,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
210.0,79.89658,6,79.89658,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
297.0,180.23182,8,180.23182,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,1,0
470.0,93.83203,7,93.83203,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
226.5,120.7739,7,83.6127,1.5,0,37.1612,3,0,0,1.0,0,0,0,0,0,0,0,0,1
274.25,84.54173,6,84.54173,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
840.0,230.39944,9,151.43189,1.75,0,78.96755,4,0,0,1.0,0,1,0,0,0,0,0,0,0
677.9,226.68332,8,226.68332,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
425.0,93.83203,7,93.83203,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
180.25,83.6127,6,83.6127,0.75,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
464.0,213.6769,7,148.6448,3.0,0,65.0321,6,0,0,2.0,0,0,0,0,0,0,0,0,0
320.0,143.99965,8,143.99965,2.25,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
625.504,117.98681,8,98.47718,2.25,0,19.50963,3,0,0,2.0,0,0,0,0,0,0,0,0,0
592.5,208.10272,9,208.10272,2.5,0,0.0,4,0,0,1.0,0,0,0,0,0,0,0,0,0
465.0,252.138742,9,252.138742,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,1,0,0
477.0,159.79316,8,159.79316,2.75,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
280.0,78.96755,6,78.96755,1.0,0,0.0,2,0,0,1.0,0,0,0,0,0,1,0,0,0
1505.0,306.5799,9,173.72861,3.0,3,132.85129,5,0,0,1.0,0,1,0,0,0,0,0,0,0
445.838,209.03175,8,209.03175,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
1072.0,362.3217,8,181.16085,2.25,3,181.16085,2,0,0,1.0,0,0,0,0,0,0,0,0,0
467.0,122.63196,8,122.63196,1.5,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
686.0,256.41228,10,256.41228,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
279.95,162.58025,7,125.41905,2.0,0,37.1612,3,0,0,1.0,0,0,0,0,0,0,0,0,0
527.0,216.46399,8,216.46399,2.25,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
325.0,206.24466,8,165.36734,2.25,0,40.87732,3,0,0,1.0,0,0,0,0,0,0,0,0,0
328.0,187.66406,7,187.66406,2.25,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
390.0,116.12875,7,116.12875,2.25,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
479.95,140.28353,8,140.28353,2.0,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
264.95,159.79316,7,104.05136,2.25,0,55.7418,4,0,0,1.0,0,0,0,0,0,0,0,0,1
235.0,132.85129,7,91.04494,1.0,0,41.80635,3,0,0,1.0,0,0,0,0,0,0,0,0,0
516.5,137.49644,7,137.49644,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,0
655.0,134.70935,7,114.27069,1.75,4,20.43866,2,0,1,2.0,0,0,0,0,0,0,0,0,0
500.0,211.81884,7,211.81884,2.75,0,0.0,4,0,0,1.0,0,0,0,0,0,0,0,0,0
315.0,273.13482,8,165.36734,2.75,0,107.76748,6,0,0,1.0,0,0,0,0,0,0,0,0,1
213.0,92.903,6,92.903,1.0,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
475.0,230.39944,7,150.50286,1.5,0,79.89658,3,0,0,1.5,0,0,0,0,0,0,0,0,0
1025.0,349.31528,10,349.31528,4.0,0,0.0,5,0,0,2.0,0,0,0,0,1,0,0,0,0
416.0,206.24466,7,152.36092,2.0,0,53.88374,3,0,0,1.0,0,0,0,0,0,0,0,0,0
410.0,183.01891,7,155.14801,1.0,0,27.8709,4,0,0,1.5,0,0,0,0,0,0,0,0,0
800.0,355.81849,10,327.94759,3.5,0,27.8709,3,0,0,2.0,0,0,0,0,0,0,0,0,0
472.0,409.70223,9,218.32205,2.5,2,191.38018,6,0,0,1.0,0,0,0,0,0,0,0,0,0
225.0,132.85129,7,132.85129,1.75,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
210.0,77.10949,6,77.10949,1.0,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
455.0,132.85129,7,132.85129,1.0,0,0.0,2,0,0,1.5,0,0,0,0,0,0,0,0,0
225.0,120.7739,6,120.7739,1.0,0,0.0,3,0,0,1.0,0,0,0,0,0,0,0,0,0
480.0,95.69009,7,73.39337,1.0,2,22.29672,2,0,0,1.0,0,0,0,0,0,0,0,0,0
363.0,254.55422,9,254.55422,2.5,0,0.0,3,0,0,2.0,0,0,0,0,0,0,0,0,1
2400.0,339.09595,9,170.01249,2.5,4,169.08346,4,0,1,1.0,0,0,0,0,0,0,0,0,0
181.0,66.89016,6,66.89016,1.5,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,0
250.0,186.73503,7,186.73503,2.0,0,0.0,4,0,0,1.0,0,0,0,0,0,0,0,0,0
481.0,144.92868,6,71.53531,1.75,0,73.39337,3,0,0,1.0,0,0,0,0,0,0,0,0,0
260.0,168.15443,7,115.19972,2.0,0,52.95471,3,0,0,1.0,0,0,0,0,0,0,0,0,0
455.0,312.15408,9,312.15408,2.5,0,0.0,4,0,0,2.0,0,0,0,0,0,0,0,0,0
